"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Behavior Modifier 1","Interval Channel 1 Behavior Modifier 2","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Weather_15","Question: Temperature_11","Question: Humidity_14","Question: Respiration Rate: average of 3 coun_16","Question: Ear Temperature_20","Question: Body Temperature_21","Question: Forearm Temperature_22"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:27:38","2022-05-07","09:27:38","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","14","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","145","414","145, 414","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:27:54","2022-05-07","09:27:54","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","15","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","148","413","148, 413","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:28:10","2022-05-07","09:28:10","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","16","Activity","Sniffing","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","149","409","149, 409","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:28:26","2022-05-07","09:28:26","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","17","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","152","411","152, 411","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:28:42","2022-05-07","09:28:42","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","18","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","146","413","146, 413","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:28:58","2022-05-07","09:28:58","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","19","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","148","413","148, 413","Rain","1","1","1","1","1","1"
"122","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 09:23:54","2022-05-07 09:23:54","2022-05-07 09:29:06","2022-05-07 09:29:14","2022-05-07","09:29:14","2022","5","9","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","20","Activity","Feeding","","","Height","Level 2","Shade Use","Shade","3","7","3, 7","148","412","148, 412","Rain","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:09:38","2022-05-07","14:09:38","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","1","Activity","Sniffing","","","Height","Level 2","","","6","8","6, 8","344","479","344, 479","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:09:54","2022-05-07","14:09:54","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","2","Activity","Sniffing","","","Height","Level 2","Shade Use","Shade","6","8","6, 8","336","450","336, 450","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:10:10","2022-05-07","14:10:10","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","3","Activity","Vigilance","","","Height","Level 1","Shade Use","Shade","","","","","","","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:10:26","2022-05-07","14:10:26","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","4","Activity","Grooming","","","Height","Level 1","Shade Use","Shade","5","5","5, 5","252","285","252, 285","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:10:42","2022-05-07","14:10:42","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","5","Activity","Sniffing","","","Height","Level 1","","","5","5","5, 5","251","277","251, 277","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:10:58","2022-05-07","14:10:58","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","6","Activity","Sniffing","","","Height","Level 1","Shade Use","Shade","5","6","5, 6","265","303","265, 303","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:11:14","2022-05-07","14:11:14","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","7","","","","","Height","Level 1","Shade Use","Shade","5","5","5, 5","261","298","261, 298","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:11:30","2022-05-07","14:11:30","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","8","Activity","Vigilance","","","Height","Level 1","Shade Use","Shade","6","7","6, 7","309","398","309, 398","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:11:46","2022-05-07","14:11:46","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","9","Activity","Vigilance","","","Height","Level 2","Shade Use","Shade","6","7","6, 7","306","392","306, 392","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:12:02","2022-05-07","14:12:02","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","10","Activity","Vigilance","","","Height","Level 1","Shade Use","Shade","6","7","6, 7","311","403","311, 403","Cloudy","1","1","1","1","1","1"
"126","[OUTDOOR] The activity patterns of male tree kangaroos in tropical climates","M2: Joey Song","4a8e90e4-7e3e-4ef7-a508-aee87adfa38f","No","2022-05-07 14:09:22","2022-05-07 14:09:22","2022-05-07 14:14:34","2022-05-07 14:12:18","2022-05-07","14:12:18","2022","5","14","Makaia,Malolo","20.25","Default Map","10,10","600x600","","Interval","Individual","Makaia","","11","Activity","Sniffing","","","Height","Level 2","Shade Use","Shade","6","7","6, 7","310","394","310, 394","Cloudy","1","1","1","1","1","1"
